Entity,Code,Year,SDG Regions,UNESCO Regions
Guyana,GUY,2024,Latin America and the Caribbean,Latin America and the Caribbean
Haiti,HTI,2024,Latin America and the Caribbean,Latin America and the Caribbean
Heard Island and McDonald Islands,HMD,2024,Australia and New Zealand,Asia and the Pacific
Honduras,HND,2024,Latin America and the Caribbean,Latin America and the Caribbean
Hong Kong,HKG,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Hungary,HUN,2024,Europe and Northern America,Europe and Northern America
Iceland,ISL,2024,Europe and Northern America,Europe and Northern America
India,IND,2024,Central and Southern Asia,Asia and the Pacific
Indonesia,IDN,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Iran,IRN,2024,Central and Southern Asia,Asia and the Pacific
Iraq,IRQ,2024,Northern Africa and Western Asia,Arab States
Ireland,IRL,2024,Europe and Northern America,Europe and Northern America
Isle of Man,IMN,2024,Europe and Northern America,Europe and Northern America
Israel,ISR,2024,Northern Africa and Western Asia,Arab States
Italy,ITA,2024,Europe and Northern America,Europe and Northern America
Jamaica,JAM,2024,Latin America and the Caribbean,Latin America and the Caribbean
Japan,JPN,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Jersey,JEY,2024,Europe and Northern America,Europe and Northern America
Jordan,JOR,2024,Northern Africa and Western Asia,Arab States
Kazakhstan,KAZ,2024,Central and Southern Asia,Asia and the Pacific
Kenya,KEN,2024,Sub-Saharan Africa,Africa
Kiribati,KIR,2024,Oceania,Asia and the Pacific
Kuwait,KWT,2024,Northern Africa and Western Asia,Arab States
Kyrgyzstan,KGZ,2024,Central and Southern Asia,Asia and the Pacific
Laos,LAO,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Latvia,LVA,2024,Europe and Northern America,Europe and Northern America
Lebanon,LBN,2024,Northern Africa and Western Asia,Arab States
Lesotho,LSO,2024,Sub-Saharan Africa,Africa
Liberia,LBR,2024,Sub-Saharan Africa,Africa
Libya,LBY,2024,Northern Africa and Western Asia,Arab States
Liechtenstein,LIE,2024,Europe and Northern America,Europe and Northern America
Lithuania,LTU,2024,Europe and Northern America,Europe and Northern America
Luxembourg,LUX,2024,Europe and Northern America,Europe and Northern America
Macao,MAC,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Madagascar,MDG,2024,Sub-Saharan Africa,Africa
Malawi,MWI,2024,Sub-Saharan Africa,Africa
Malaysia,MYS,2024,Eastern and South-Eastern Asia,Asia and the Pacific
Maldives,MDV,2024,Central and Southern Asia,Asia and the Pacific
Mali,MLI,2024,Sub-Saharan Africa,Africa
Malta,MLT,2024,Europe and Northern America,Europe and Northern America
Marshall Islands,MHL,2024,Oceania,Asia and the Pacific
